"","Site","Treatment","Quad","ID","cyano","Lichen","Moss","Total"
"1","pge","none","a","pge01",0,0,0,0
"2","pge","none","a","pge02",5,0,0,5
"3","pge","none","a","pge03",3,0,0,3
"4","pge","none","a","pge04",0,0,0,0
"5","pge","none","a","pge05",0,0,0,0
"6","pge","none","a","pge06",2,0,0,2
"7","pge","none","a","pge07",1,0,0,1
"8","pge","none","a","pge08",9,1,0,10
"9","pge","none","a","pge09",4,0,0,4
"10","pge","none","a","pge10",0,0,0,0
"11","pge","none","b","pge01",2,0,1,3
"12","pge","none","b","pge02",2,0,0,2
"13","pge","none","b","pge03",4,0,0,4
"14","pge","none","b","pge04",0,0,0,0
"15","pge","none","b","pge05",0,0,0,0
"16","pge","none","b","pge06",3,2,1,6
"17","pge","none","b","pge07",2,0,0,2
"18","pge","none","b","pge08",10,1,0,11
"19","pge","none","b","pge09",3,0,0,3
"20","pge","none","b","pge10",0,0,0,0
"21","pge","none","c","pge01",8,0,0,8
"22","pge","none","c","pge02",7,0,0,7
"23","pge","none","c","pge03",0,0,0,0
"24","pge","none","c","pge04",0,0,0,0
"25","pge","none","c","pge05",0,0,0,0
"26","pge","none","c","pge06",1,0,0,1
"27","pge","none","c","pge07",2,0,0,2
"28","pge","none","c","pge08",25,2,0,27
"29","pge","none","c","pge09",2,0,0,2
"30","pge","none","c","pge10",0,0,0,0
"31","pge","none","d","pge01",1,0,0,1
"32","pge","none","d","pge02",20,0,0,20
"33","pge","none","d","pge03",20,0,0,20
"34","pge","none","d","pge04",0,0,0,0
"35","pge","none","d","pge05",1,0,0,1
"36","pge","none","d","pge06",2,0,1,3
"37","pge","none","d","pge07",0,0,0,0
"38","pge","none","d","pge08",40,3,0,43
"39","pge","none","d","pge09",5,0,0,5
"40","pge","none","d","pge10",1,0,0,1
"41","pge","rx","a","pge01",4,0,1,5
"42","pge","rx","a","pge02",45,0,0,45
"43","pge","rx","a","pge03",5,0,4,9
"44","pge","rx","a","pge04",40,0,0,40
"45","pge","rx","a","pge05",2,0,0,2
"46","pge","rx","a","pge06",10,0,0,10
"47","pge","rx","a","pge07",10,1,0,11
"48","pge","rx","a","pge08",60,30,0,90
"49","pge","rx","a","pge09",65,3,0,68
"50","pge","rx","a","pge10",35,1,20,56
"51","pge","rx","b","pge01",10,0,2,12
"52","pge","rx","b","pge02",16,0,1,17
"53","pge","rx","b","pge03",60,0,0,60
"54","pge","rx","b","pge04",10,0,0,10
"55","pge","rx","b","pge05",20,1,0,21
"56","pge","rx","b","pge06",5,0,1,6
"57","pge","rx","b","pge07",20,1,0,21
"58","pge","rx","b","pge08",55,5,0,60
"59","pge","rx","b","pge09",9,0,1,10
"60","pge","rx","b","pge10",25,1,20,46
"61","pge","rx","c","pge01",5,0,0,5
"62","pge","rx","c","pge02",50,0,0,50
"63","pge","rx","c","pge03",6,0,0,6
"64","pge","rx","c","pge04",30,0,0,30
"65","pge","rx","c","pge05",6,0,0,6
"66","pge","rx","c","pge06",15,0,0,15
"67","pge","rx","c","pge07",8,0,0,8
"68","pge","rx","c","pge08",30,10,2,42
"69","pge","rx","c","pge09",5,4,1,10
"70","pge","rx","c","pge10",25,1,30,56
"71","pge","rx","d","pge01",9,0,1,10
"72","pge","rx","d","pge02",31,1,1,33
"73","pge","rx","d","pge03",30,0,0,30
"74","pge","rx","d","pge04",10,0,0,10
"75","pge","rx","d","pge05",29,0,1,30
"76","pge","rx","d","pge06",5,0,0,5
"77","pge","rx","d","pge07",25,0,0,25
"78","pge","rx","d","pge08",35,6,0,41
"79","pge","rx","d","pge09",12,0,3,15
"80","pge","rx","d","pge10",40,4,5,49
"81","pgw","none","a","pgw01",0,1,1,32
"82","pgw","none","a","pgw02",2,2,0,22
"83","pgw","none","a","pgw03",5,0,0,1
"84","pgw","none","a","pgw04",4,1,0,9
"85","pgw","none","a","pgw05",6,2,0,10
"86","pgw","none","a","pgw06",1,1,0,10
"87","pgw","none","a","pgw07",0,2,0,12
"88","pgw","none","a","pgw08",0,0,0,1
"89","pgw","none","a","pgw09",0,0,0,2
"90","pgw","none","a","pgw10",2,0,0,0
"91","pgw","none","b","pgw01",1,0,0,0
"92","pgw","none","b","pgw02",0,1,2,5
"93","pgw","none","b","pgw03",0,1,0,6
"94","pgw","none","b","pgw04",7,1,1,6
"95","pgw","none","b","pgw05",9,0,0,6
"96","pgw","none","b","pgw06",0,0,0,1
"97","pgw","none","b","pgw07",4,0,0,0
"98","pgw","none","b","pgw08",0,0,0,0
"99","pgw","none","b","pgw09",0,0,0,0
"100","pgw","none","b","pgw10",6,1,2,5
"101","pgw","none","c","pgw01",13,0,0,1
"102","pgw","none","c","pgw02",1,0,0,0
"103","pgw","none","c","pgw03",5,0,0,0
"104","pgw","none","c","pgw04",0,2,1,10
"105","pgw","none","c","pgw05",2,1,0,10
"106","pgw","none","c","pgw06",0,1,0,1
"107","pgw","none","c","pgw07",0,1,1,6
"108","pgw","none","c","pgw08",0,0,0,0
"109","pgw","none","c","pgw09",0,0,0,0
"110","pgw","none","c","pgw10",1,1,0,7
"111","pgw","none","d","pgw01",20,1,0,14
"112","pgw","none","d","pgw02",1,0,0,1
"113","pgw","none","d","pgw03",8,2,1,8
"114","pgw","none","d","pgw04",8,0,0,0
"115","pgw","none","d","pgw05",9,0,0,2
"116","pgw","none","d","pgw06",10,0,0,0
"117","pgw","none","d","pgw07",1,0,1,1
"118","pgw","none","d","pgw08",2,0,0,0
"119","pgw","none","d","pgw09",0,0,1,1
"120","pgw","none","d","pgw10",1,1,0,2
"121","pgw","rx","a","pgw01",4,0,0,4
"122","pgw","rx","a","pgw02",12,0,0,12
"123","pgw","rx","a","pgw03",3,0,0,3
"124","pgw","rx","a","pgw04",5,0,0,5
"125","pgw","rx","a","pgw05",8,0,0,8
"126","pgw","rx","a","pgw06",4,0,0,4
"127","pgw","rx","a","pgw07",5,3,0,8
"128","pgw","rx","a","pgw08",18,1,0,16
"129","pgw","rx","a","pgw09",25,2,1,53
"130","pgw","rx","a","pgw10",75,0,0,10
"131","pgw","rx","b","pgw01",2,0,0,2
"132","pgw","rx","b","pgw02",40,0,0,40
"133","pgw","rx","b","pgw03",2,0,0,2
"134","pgw","rx","b","pgw04",8,0,0,8
"135","pgw","rx","b","pgw05",4,0,0,4
"136","pgw","rx","b","pgw06",3,0,0,3
"137","pgw","rx","b","pgw07",5,0,0,5
"138","pgw","rx","b","pgw08",17,0,1,19
"139","pgw","rx","b","pgw09",60,0,0,25
"140","pgw","rx","b","pgw10",65,0,0,75
"141","pgw","rx","c","pgw01",2,0,0,2
"142","pgw","rx","c","pgw02",4,0,0,4
"143","pgw","rx","c","pgw03",5,0,0,5
"144","pgw","rx","c","pgw04",6,0,0,6
"145","pgw","rx","c","pgw05",5,1,0,6
"146","pgw","rx","c","pgw06",9,0,0,9
"147","pgw","rx","c","pgw07",7,0,0,5
"148","pgw","rx","c","pgw08",9,1,0,18
"149","pgw","rx","c","pgw09",30,1,0,61
"150","pgw","rx","c","pgw10",60,1,1,67
"151","pgw","rx","d","pgw01",16,3,0,19
"152","pgw","rx","d","pgw02",12,0,0,12
"153","pgw","rx","d","pgw03",2,0,0,2
"154","pgw","rx","d","pgw04",2,0,0,2
"155","pgw","rx","d","pgw05",4,0,0,4
"156","pgw","rx","d","pgw06",8,0,0,8
"157","pgw","rx","d","pgw07",15,0,1,8
"158","pgw","rx","d","pgw08",50,0,0,9
"159","pgw","rx","d","pgw09",10,0,0,30
"160","pgw","rx","d","pgw10",30,1,0,61
"161","rc","none","a","rc01",0,0,0,0
"162","rc","none","a","rc02",1,0,0,1
"163","rc","none","a","rc03",0,0,0,0
"164","rc","none","a","rc04",5,0,1,6
"165","rc","none","a","rc05",1,0,0,1
"166","rc","none","a","rc06",1,0,0,1
"167","rc","none","a","rc07",2,0,0,2
"168","rc","none","b","rc01",3,0,0,3
"169","rc","none","b","rc02",0,0,0,0
"170","rc","none","b","rc03",0,0,0,0
"171","rc","none","b","rc04",5,1,0,6
"172","rc","none","b","rc05",2.5,0,0,2.5
"173","rc","none","b","rc06",2,0,1,3
"174","rc","none","b","rc07",1,0,0,1
"175","rc","none","c","rc01",0,0,0,0
"176","rc","none","c","rc02",0,0,0,0
"177","rc","none","c","rc03",2,0,0,2
"178","rc","none","c","rc04",6,0,1,7
"179","rc","none","c","rc05",2,1,1,4
"180","rc","none","c","rc06",4,0,0,4
"181","rc","none","d","rc01",1,0,1,2
"182","rc","none","d","rc02",4,0,1,5
"183","rc","none","d","rc03",2,0,0,2
"184","rc","none","d","rc04",3,0,0,3
"185","rc","none","d","rc05",1,0,0,1
"186","rc","none","d","rc06",3,1,0,4
"187","rc","rx/wild","a","rc01",0,0,0,0
"188","rc","rx/wild","a","rc02",18,0,0,18
"189","rc","rx/wild","a","rc03",10,0,1,11
"190","rc","rx/wild","a","rc04",45,0,15,60
"191","rc","rx/wild","a","rc05",4,0,2,6
"192","rc","rx/wild","a","rc06",6,0,1,7
"193","rc","rx/wild","a","rc07",24,0,2,26
"194","rc","rx/wild","a","rc08",20,0,5,25
"195","rc","rx/wild","a","rc09",15,0,1,16
"196","rc","rx/wild","a","rc10",10,0,1,11
"197","rc","rx/wild","b","rc01",1,0,0,1
"198","rc","rx/wild","b","rc02",7,3,0,10
"199","rc","rx/wild","b","rc03",5,0,0,5
"200","rc","rx/wild","b","rc04",12,0,1,13
"201","rc","rx/wild","b","rc05",2,0,5,7
"202","rc","rx/wild","b","rc06",10,0,1,11
"203","rc","rx/wild","b","rc07",9,0,1,10
"204","rc","rx/wild","b","rc08",19,0,6,25
"205","rc","rx/wild","b","rc09",21,0,3,24
"206","rc","rx/wild","b","rc10",29,0,1,30
"207","rc","rx/wild","c","rc01",2,0,0,2
"208","rc","rx/wild","c","rc02",5,15,2,22
"209","rc","rx/wild","c","rc03",34,0,1,35
"210","rc","rx/wild","c","rc04",7,1,0,8
"211","rc","rx/wild","c","rc05",0,0,0,0
"212","rc","rx/wild","c","rc06",8,0,0,8
"213","rc","rx/wild","c","rc07",13,0,1,14
"214","rc","rx/wild","c","rc08",19,0,0,19
"215","rc","rx/wild","c","rc09",27,0,1,28
"216","rc","rx/wild","c","rc10",20,0,1,21
"217","rc","rx/wild","d","rc01",1,0,1,2
"218","rc","rx/wild","d","rc02",20,4,0,24
"219","rc","rx/wild","d","rc03",15,0,0,15
"220","rc","rx/wild","d","rc04",7,1,1,9
"221","rc","rx/wild","d","rc05",2,0,0,2
"222","rc","rx/wild","d","rc06",21,1,1,23
"223","rc","rx/wild","d","rc07",10,0,1,11
"224","rc","rx/wild","d","rc08",36,0,18,54
"225","rc","rx/wild","d","rc09",19,0,2,21
"226","rc","rx/wild","d","rc10",11,0,0,11
