"","Site","Treatment","Quad","ID","cyano","Lichen","Moss","Total","Site.1","Treatment.1","Quad.1","ID.1","ng.cov","nng.cov","nnf.cov","nf.cov","BRODIA","EROBOT","FESMYU","SANARG","STIPUL","ACARAR","AVEBAR","AVEFAT","BROMAD","CENMEL","UNKNOWN","BROHOR","LASGRA","SPEMAC","LEPNIT","SALTRA","ACHMIL","EROCIC","SONOLE","DAUPUS","LUPBIC","MAFOFO","GILNEV","CALMEN","AVESPP","EROMOS","GALAPA","CRYINT","BROKIN","PTEDRY","CRACON","CALCIL","FESSPP","JEPMAL","HYPGLA","PELAND","AMBPUS","DICCAP","ALLPRA","CALMAC","OPULIT","AMSINT","AMSMEN","VIOPED"
"1","pge","none","a","pge01",0,0,0,0,"PGE","burn","A","PGE01",0.809036144578313,1.0938704028021,0.697701149425287,0.383848797250859,0.1,5,0.1,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","pge","none","a","pge02",5,0,0,5,"PGE","burn","A","PGE02",0.674196787148594,0.911558669001751,0.581417624521073,0.639747995418099,0,0.666666666666667,0,1,0.833333333333333,0,0,0.0833333333333333,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","pge","none","a","pge03",3,0,0,3,"PGE","burn","A","PGE03",0.674196787148594,1.36733800350263,1.16283524904215,0,0.166666666666667,5.83333333333333,0,0,0.5,0,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","pge","none","a","pge04",0,0,0,0,"PGE","burn","A","PGE04",0,1.36733800350263,1.74425287356322,0,0.125,2.75,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","pge","none","a","pge05",0,0,0,0,"PGE","burn","A","PGE05",0,1.64080560420315,1.39540229885057,0,0.1,1,0.5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","pge","none","a","pge06",2,0,0,2,"PGE","burn","A","PGE06",0.44946452476573,0.607705779334501,1.55044699872286,0.426498663612066,0,0.222222222222222,0.111111111111111,0,1,0,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0.222222222222222,0.111111111111111,0,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","pge","none","a","pge07",1,0,0,1,"PGE","burn","A","PGE07",0.577882960413081,1.17200400300225,1.49507389162562,0,0,0.142857142857143,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","pge","none","a","pge08",9,1,0,10,"PGE","burn","A","PGE08",0,0.455779334500876,1.74425287356322,0.639747995418099,0.166666666666667,0.5,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","pge","none","a","pge09",4,0,0,4,"PGE","burn","A","PGE09",0,0.781336002001501,0.996715927750411,0.822533136966127,0.142857142857143,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0.0714285714285714,0.857142857142857,0,0.428571428571429,0,0.714285714285714,0,0,0,0,0,0,0,0,0,0,0
"10","pge","none","a","pge10",0,0,0,0,"PGE","burn","A","PGE10",0.674196787148594,0.911558669001751,0.581417624521073,0.639747995418099,0.166666666666667,1.66666666666667,0.166666666666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","pge","none","b","pge01",2,0,1,3,"PGE","burn","B","PGE02",0.577882960413081,0.781336002001501,1.49507389162562,0.274177712322042,0,0.285714285714286,0,0.0714285714285714,0.714285714285714,0,0,0.0714285714285714,0.285714285714286,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","pge","none","b","pge02",2,0,0,2,"PGE","burn","B","PGE03",0.505647590361446,1.02550350262697,0.872126436781609,0.479810996563574,0,1,0,0,0.25,0,0,0.0625,0.0625,0,0,0.0625,0,0,0.0625,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","pge","none","b","pge03",4,0,0,4,"PGE","burn","B","PGE04",0.809036144578313,1.0938704028021,1.39540229885057,0,0.1,1.4,0,0,1.2,0,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","pge","none","b","pge04",0,0,0,0,"PGE","burn","B","PGE05",0,2.05100700525394,0.872126436781609,0,0.125,2,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","pge","none","b","pge05",0,0,0,0,"PGE","burn","B","PGE06",0.674196787148594,0.455779334500876,1.74425287356322,0.319873997709049,0,0.666666666666667,0.166666666666667,0,0.166666666666667,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","pge","none","b","pge06",3,2,1,6,"PGE","burn","B","PGE07",1.01129518072289,0.683669001751314,1.74425287356322,0,0.25,1.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","pge","none","b","pge07",2,0,0,2,"PGE","burn","B","PGE08",0,1.0938704028021,1.39540229885057,0.383848797250859,0.2,2.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","pge","none","b","pge08",10,1,0,11,"PGE","burn","B","PGE09",0.505647590361446,0.683669001751314,0.872126436781609,0.719716494845361,0.125,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0.375,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"19","pge","none","b","pge09",3,0,0,3,"PGE","burn","B","PGE10",0.505647590361446,0.683669001751314,0.872126436781609,0.719716494845361,0.125,0.875,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.125,0.25,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","pge","none","b","pge10",0,0,0,0,"PGE","burn","C","PGE01",1.01129518072289,0.683669001751314,0.872126436781609,0.479810996563574,0,5,0,0.25,2,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","pge","none","c","pge01",8,0,0,8,"PGE","burn","C","PGE03",0.809036144578313,1.64080560420315,0.697701149425287,0,0.6,1.6,0,0,0.8,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","pge","none","c","pge02",7,0,0,7,"PGE","burn","C","PGE04",1.01129518072289,1.36733800350263,0.872126436781609,0,0.125,2.25,0,0,0.75,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","pge","none","c","pge03",0,0,0,0,"PGE","burn","C","PGE05",0.809036144578313,1.0938704028021,1.39540229885057,0,0.2,1.2,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","pge","none","c","pge04",0,0,0,0,"PGE","burn","C","PGE06",0.674196787148594,0.911558669001751,1.74425287356322,0,0,0.5,0.166666666666667,0,0.833333333333333,0,0.166666666666667,0,0,0.166666666666667,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","pge","none","c","pge05",0,0,0,0,"PGE","burn","C","PGE07",0,0.781336002001501,1.49507389162562,0.548355424644084,0.142857142857143,0,0,0,0,0,0,0.285714285714286,0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,4.28571428571429,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","pge","none","c","pge06",1,0,0,1,"PGE","burn","C","PGE08",0,0.683669001751314,1.74425287356322,0.479810996563574,0.25,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","pge","none","c","pge07",2,0,0,2,"PGE","burn","C","PGE09",0,0.911558669001751,1.74425287356322,0.319873997709049,0.5,2.5,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"28","pge","none","c","pge08",25,2,0,27,"PGE","burn","C","PGE10",0,1.0938704028021,0.697701149425287,0.767697594501718,0.2,2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","pge","none","c","pge09",2,0,0,2,"PGE","burn","D","PGE01",0.674196787148594,1.8231173380035,0.581417624521073,0,0.333333333333333,1.66666666666667,0.0833333333333333,0,0.166666666666667,0,0.0833333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","pge","none","c","pge10",0,0,0,0,"PGE","burn","D","PGE02",0.809036144578313,1.64080560420315,0.697701149425287,0,0.1,0.8,0,0,0.2,0,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","pge","none","d","pge01",1,0,0,1,"PGE","burn","D","PGE03",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,1.16666666666667,0,0,0.166666666666667,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","pge","none","d","pge02",20,0,0,20,"PGE","burn","D","PGE04",0.809036144578313,1.0938704028021,1.39540229885057,0,0.1,1.6,0,0,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","pge","none","d","pge03",20,0,0,20,"PGE","burn","D","PGE05",0,1.36733800350263,1.74425287356322,0,0,1.25,0.125,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","pge","none","d","pge04",0,0,0,0,"PGE","burn","D","PGE06",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,0.833333333333333,0.0833333333333333,0,1.5,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","pge","none","d","pge05",1,0,0,1,"PGE","burn","D","PGE07",0.577882960413081,0.781336002001501,1.49507389162562,0.274177712322042,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","pge","none","d","pge06",2,0,1,3,"PGE","burn","D","PGE08",0,1.02550350262697,1.30818965517241,0.479810996563574,0,0.25,0.125,0,0,0,0.125,0,0.125,0.125,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","pge","none","d","pge07",0,0,0,0,"PGE","burn","D","PGE09",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0.0833333333333333,3.33333333333333,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0
"38","pge","none","d","pge08",40,3,0,43,"PGE","burn","D","PGE10",0.577882960413081,0.390668001000751,0.996715927750411,0.548355424644084,0,2.14285714285714,0.142857142857143,0,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0
"39","pge","none","d","pge09",5,0,0,5,"PGE","control","A","PGE01",0,1.8231173380035,0.581417624521073,0.319873997709049,0.166666666666667,0,0,0,0,0.5,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","pge","none","d","pge10",1,0,0,1,"PGE","control","A","PGE02",0.674196787148594,0.911558669001751,1.16283524904215,0.319873997709049,0,0.0833333333333333,0,0,0.333333333333333,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,0,1,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","pge","rx","a","pge01",4,0,1,5,"PGE","control","A","PGE03",0.577882960413081,1.562672004003,0.996715927750411,0,0.0714285714285714,0.0714285714285714,0,0,0.0714285714285714,0,0,0.0714285714285714,0.142857142857143,0.0714285714285714,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","pge","rx","a","pge02",45,0,0,45,"PGE","control","A","PGE04",0,1.215411558669,0.77522349936143,0.639747995418099,0.111111111111111,0,0.0555555555555556,0,0,0,0.111111111111111,0,0.0555555555555556,0.111111111111111,0,0.0555555555555556,0,0,0,0,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","pge","rx","a","pge03",5,0,4,9,"PGE","control","A","PGE05",0,0.911558669001751,1.16283524904215,0.479810996563574,0.166666666666667,0.0416666666666667,0.166666666666667,0,0,0,0.0416666666666667,0,0,0.5,0,0.0833333333333333,0,0,0.0833333333333333,0,0,0.0416666666666667,0.0416666666666667,0,0.0833333333333333,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","pge","rx","a","pge04",40,0,0,40,"PGE","control","A","PGE06",0.44946452476573,0.607705779334501,1.16283524904215,0.639747995418099,0.111111111111111,0.555555555555556,0.111111111111111,0,0.111111111111111,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","pge","rx","a","pge05",2,0,0,2,"PGE","control","A","PGE07",0,0.911558669001751,1.16283524904215,0.639747995418099,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0.0833333333333333,0.166666666666667,0,0,0.0833333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","pge","rx","a","pge06",10,0,0,10,"PGE","control","A","PGE08",0,1.0938704028021,2.09310344827586,0,0.2,0,0,0,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","pge","rx","a","pge07",10,1,0,11,"PGE","control","A","PGE09",0.337098393574297,0.911558669001751,1.16283524904215,0.479810996563574,0.0833333333333333,0.166666666666667,0.833333333333333,0.0833333333333333,0.166666666666667,0,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","pge","rx","a","pge08",60,30,0,90,"PGE","control","A","PGE10",0.337098393574297,0.455779334500876,0.581417624521073,0.799684994272623,0.0833333333333333,0,0,0.166666666666667,0.166666666666667,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0,0.0833333333333333,0,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","pge","rx","a","pge09",65,3,0,68,"PGE","control","B","PGE01",0.674196787148594,1.13944833625219,0.581417624521073,0.319873997709049,0.0416666666666667,1.04166666666667,0.0833333333333333,0,1.08333333333333,0.708333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","pge","rx","a","pge10",35,1,20,56,"PGE","control","B","PGE02",0.577882960413081,1.17200400300225,1.49507389162562,0,0,0.142857142857143,0,0,0.428571428571429,0,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","pge","rx","b","pge02",16,0,1,17,"PGE","control","B","PGE03",0.44946452476573,0.911558669001751,1.93805874840358,0,0.222222222222222,0.111111111111111,0,0,0.555555555555556,0,0,0,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0,0,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","pge","rx","b","pge03",60,0,0,60,"PGE","control","B","PGE04",0.809036144578313,1.0938704028021,1.39540229885057,0,2.4,0,0,0,0.6,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
